,,,Avail (I),Rep (K),Test ( P),Loan O,Hold,Scrap,MIA  s,Given,,Repair,,Test,,Loan,,Hold,,Scrap,,MIA,,GIVEN,,,,,
C01,A,,A,,,,,,,,,,R,,T,,L,,H,C07,S,M05,M,,G,,,C01,A
C02,A,,A,,,,,,,,,,R,,T,,L,,H,M15,S,M14,M,,G,,,C02,A
C03,A,,A,,,,,,,,,,R,,T,,L,,H,M23,S,W04,M,,G,,,C03,A
C04,L,,,,,L,,,,,,,R,,T,,L,,H,C09,S,W07,M,,G,,,C06,A
C05,R,,,R,,,,,,,,,R,,T,,L,,H,M08,S,Y15,M,,G,,,C11,A
C06,A,,A,,,,,,,,,,R,,T,,L,,H,W18,S,Y18,M,,G,,,C19,A
C07,S,,,,,,,S,,,,,R,,T,,L,,H,,S,,M,,G,,,C22,A
C08,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,C25,A
C09,S,,,,,,,S,,,,,R,,T,,L,XM06,H,,S,,M,,G,,,C26,A
C10,R,,,R,,,,,,,,,R,,T,,L,,H,,S,,M,,G,,,C28,A
C11,A,,A,,,,,,,,,,R,,T,Err:508,L,XM09,H,,S,,M,,G,,,C29,A
C12,L,,,,,L,,,,,,,R,,T,,L,XW01,H,,S,,M,,G,,,C30,A
C13,L,,,,,L,,,,,,,R,,T,,L,XW02,H,,S,,M,,G,,,C31,A
C14,R,,,R,,,,,,,,,R,,T,Err:508,L,,H,,S,,M,,G,,,C32,A
C15,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,C33,A
C16,R,,,R,,,,,,,,,R,,T,Err:508,L,XW06,H,,S,,M,,G,,,M09,A
C17,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,M12,A
C18,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,M20,A
C19,A,,A,,,,,,,,,,R,,T,Err:508,L,,H,,S,,M,,G,,,M24,A
C20,L,,,,,L,,,,,,,R,,T,,L,XM01,H,,S,,M,,G,,,M27,A
C21,L,,,,,L,,,,,,,R,,T,Err:508,L,XM02,H,,S,,M,,G,,,M28,A
C22,A,,A,,,,,,,,,,R,,T,,L,,H,,S,,M,,G,,,M31,A
C23,L,,,,,L,,,,,,,R,,T,,L,XM10,H,,S,,M,,G,,,M33,A
C24,L,,,,,L,,,,,,,R,,T,Err:508,L,XW03,H,,S,,M,,G,,,M34,A
C25,A,,A,,,,,,,,,,R,,T,,L,,H,,S,,M,,G,,,M35,A
C26,A,,A,,,,,,,,,,R,,T,,L,,H,,S,,M,,G,,,T01,A
C27,L,,,,,L,,,,,,,R,,T,,L,0,H,,S,,M,,G,,,T04,A
C28,A,,A,,,,,,,,,,R,,T,,L,XM13,H,,S,,M,,G,,,T05,A
C29,A,,A,,,,,,,,,,R,,T,Err:508,L,XM14,H,,S,,M,,G,,,T06,A
C30,A,,A,,,,,,,,,,R,,T,,L,XM15,H,,S,,M,,G,,,T07,A
C31,A,,A,,,,,,,,,,R,,T,,L,XM16,H,,S,,M,,G,,,T08,A
C32,A,,A,,,,,,,,,,R,,T,Err:508,L,,H,,S,,M,,G,,,T09,A
C33,A,,A,,,,,,,,,,R,,T,,L,XM18,H,,S,,M,,G,,,T12,A
C34,R,,,R,,,,,,,,,R,,T,Err:508,L,XM19,H,,S,,M,,G,,,T13,A
C35,R,,,R,,,,,,,,,R,,T,Err:508,L,XM17,H,,S,,M,,G,,,W06,A
M01,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,W14,A
M02,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,W15,A
M03,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,XM20,A
M04,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,XW05,A
M05,M,,,,,,,,M,,,,R,,T,,L,,H,,S,,M,,G,,,Y01,A
M06,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,Y14,A
M07,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,Y19,A
M08,S,,,,,,,S,,,,,R,,T,,L,,H,,S,,M,,G,,,Y20,A
M09,A,,A,,,,,,,,,,R,,T,,L,,H,,S,,M,,G,,,W19,H
M10,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,XM01,H
M11,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,XM02,H
M12,A,,A,,,,,,,,,,R,,T,,L,,H,,S,,M,,G,,,XM04,H
M13,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,XM05,H
M14,M,,,,,,,,M,,,,R,,T,,L,,H,,S,,M,,G,,,XM06,H
M15,S,,,,,,,S,,,,,R,,T,,L,,H,,S,,M,,G,,,XM09,H
M16,R,,,R,,,,,,,,,R,,T,,L,,H,,S,,M,,G,,,XM10,H
M17,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,XM13,H
M18,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,XM14,H
M19,L,,,,,L,,,,,,,R,,T,,L,,H,,S,,M,,G,,,XM15,H
M20,A,,A,,,,,,,,,,R,,T,,L,XM05,H,,S,,M,,G,,,XM16,H
