C01,A,XM02,H,M22,L,T10,R,1,,,Currently,,C,M,T,W,Xm,Xw,Y,Tot,,,,C01,A,,M11,L,,W08,L,,Y09,L
C02,A,XM04,H,M25,L,W01,R,2,,,Available,,15,8,9,1,0,1,3,37, , ,,C02,A,,M12,A,,W09,L,,Y10,L
C03,A,XM05,H,M26,L,W05,R,3,,,On Loan,,12,19,2,10,5,0,13,61,, ,,C03,A,,M13,L,,W10,L,,Y11,L
C06,A,XM06,H,M32,L,W11,R,4,,,On Hold,,0,0,0,1,14,5,0,20,,,,C04,L,,M14,M,,W11,R,,Y12,L
C11,A,XM09,H,T02,L,Y03,R,5,,,In Test,,0,0,0,0,0,0,0,0,,,,C05,R,,M15,S,,W12,L,,Y13,L
C19,A,XM10,H,T11,L,Y07,R,6,,,In Repair,,6,3,2,4,0,0,2,17,,,,C06,A,,M16,R,,W13,L,,Y14,A
C22,A,XM13,H,W02,L,C07,S,7,,,Total Fleet,,33,30,13,16,19,6,18,135,,,,C07,S,,M17,L,,W14,A,,Y15,M
C25,A,XM14,H,W03,L,C09,S,8,,,,,,,,,,,,,,,,C08,L,,M18,L,,W15,L,,Y16,L
C26,A,XM15,H,W08,L,M08,S,9,,,Cumulative,,C,M,T,W,Xm,Xw,Y,Tot,,,,C09,S,,M19,L,,W16,L,,Y17,L
C28,A,XM16,H,W09,L,M15,S,10,,,Loaned,,38,72,15,35,8,3,45,216,,,,C10,R,,M20,A,,W17,L,,Y18,M
C29,A,XM17,H,W10,L,M23,S,11,,,Returned,,26,53,13,25,3,3,32,155,,,,C11,A,,M21,L,,W18,S,,Y19,A
C30,A,XM18,H,W12,L,,,12,,,Renewed,,3,16,4,3,0,1,10,37,,,,C12,L,,M22,L,,W19,H,,Y20,A
C31,A,XM19,H,W13,L,,,13,,,Test ridden,,41,51,13,31,9,7,23,175,,,,C13,L,,M23,S,,XM01,H,,,
C32,A,XW01,H,W16,L,,,14,,,Repaired,,29,49,9,24,4,1,20,136,,,,C14,R,,M24,A,,XM02,LH,,,
C33,A,XW02,H,W17,L,,,15,,,Donations,,12,15,3,5,9,0,7,51,,,,C15,L,,M25,L,,XM03,L,,146-12=134,
M09,A,XW03,H,XM03,L,,,16,,,,,,,,,,,,,,,,C16,R,,M26,L,,XM04,H,,,
M12,A,XW04,H,XM07,L,,,17,,,Cumulative,,C,M,T,W,Xm,Xw,Y,Tot,,,,C17,L,,M27,A,,XM05,H,,,
