,Date,Date,Tag # *,C,M,T,W,Xm,Xw,Y,,Wks in Repair,Days in Repair,,,,,,,,,,,,,,
,In Repair,Repaired,,,,,,,,,,,Repaired,Counting,,,,,,,,,,,,,
,9-Apr-18,12-Apr,M20,0,1,0,0,0,0,0,,0,3,,,,,,,,,,,,,,
,9-Apr-18,23-Apr-18,M01,0,1,0,0,0,0,0,,2,14,,,,,,,,,,,,,,
,9-Apr-18,23-Apr-18,M03,0,1,0,0,0,0,0,,2,14,,,,,,,,,,,,,,
,9-Apr-18,23-Apr-18,M04,0,1,0,0,0,0,0,,2,14,,,,,,,,,,,,,,
,9-Apr-18,23-Apr-18,W10,0,0,0,1,0,0,0,,2,14,,,,,,,,,,,,,,
,9-Apr-18,23-Apr-18,W12,0,0,0,1,0,0,0,,2,14,,,,,,,,,,,,,,
,9-Apr-18,3-May-18,M06,0,1,0,0,0,0,0,,3,24,,,,,,,,,,,,,,
,9-Apr-18,3-May-18,M09,0,1,0,0,0,0,0,,3,24,,,,,,,,,,,,,,
,9-Apr-18,3-May-18,M11,0,1,0,0,0,0,0,,3,24,,,,,,,,,,,,,,
,9-Apr-18,3-May-18,M12,0,1,0,0,0,0,0,,3,24,,,,,,,,,,,,,,
,9-Apr-18,3-May-18,M23,0,1,0,0,0,0,0,,3,24,,,,,,,,,,,,,,
,9-Apr-18,3-May-18,W11,0,0,0,1,0,0,0,,3,24,,,,,,,,,,,,,,
,9-Apr-18,3-May-18,Y04,0,0,0,0,0,0,1,,3,24,,,,,,,,,,,,,,
,9-Apr-18,3-May-18,Y05,0,0,0,0,0,0,1,,3,24,,,,,,,,,,,,,,
,9-Apr-18,3-May-18,Y10,0,0,0,0,0,0,1,,3,24,,,,,,,,,,,,,,
,9-Apr-18,3-May-18,Y11,0,0,0,0,0,0,1,,3,24,,,,,,,,,,,,,,
,9-Apr-18,May 4,M07,0,1,0,0,0,0,0,,4,25,,,,,,,,,,,,,,
,9-Apr-18,May 4,M22,0,1,0,0,0,0,0,,4,25,,,,,,,,,,,,,,
,9-Apr-18,May 4,W01,0,0,0,1,0,0,0,,4,25,,,,,,,,,,,,,,
,9-Apr-18,May 4,W07,0,0,0,1,0,0,0,,4,25,,,,,,,,,,,,,,
,9-Apr-18,May 4,Y06,0,0,0,0,0,0,1,,4,25,,,,,,,,,,,,,,
,9-Apr-18,5 May-18,C15,1,0,0,0,0,0,0,,4,26,,,,,,,,,,,,,,
,9-Apr-18,5/5/2018,C25,1,0,0,0,0,0,0,,4,26,,,,,,,,,,,,,,
,9-Apr-18,7-May-18,C07,1,0,0,0,0,0,0,,4,28,,,,,,,,,,,,,,
,9-Apr-18,7-May-18,M08,0,1,0,0,0,0,0,,4,28,,,,,,,,,,,,,,
,7-May-18,7-May-18,M10,0,1,0,0,0,0,0,,0,0,,,,,,,,,,,,,,
,9-Apr-18,7-May-18,Y09,0,0,0,0,0,0,1,,4,28,,,,,,,,,,,,,,
,May 4,7-May-18,Y11,0,0,0,0,0,0,1,,0,3,,,,,,,,,,,,,,
,4-May-18,7-May-18,Y14,0,0,0,0,0,0,1,,0,3,,,,,,,,,,,,,,
,May 7,8-May-18,M22,0,1,0,0,0,0,0,,0,1,,,,,,,,,,,,,,
,4-May-18,10-May,C08,1,0,0,0,0,0,0,,1,6,,,,,,,,,,,,,,
,9-Apr-18,10-May,C12,1,0,0,0,0,0,0,,4,31,,,,,,,,,,,,,,
,9-Apr-18,10-May,T02,0,0,1,0,0,0,0,,4,31,,,,,,,,,,,,,,
,9-Apr-18,10-May,T06,0,0,1,0,0,0,0,,4,31,,,,,,,,,,,,,,
,9-Apr-18,10-May,T09,0,0,1,0,0,0,0,,4,31,,,,,,,,,,,,,,
,9-Apr-18,16-May,C19,1,0,0,0,0,0,0,,5,37,,,,,,,,,,,,,,
,Apr 30,17-May,M17,0,1,0,0,0,0,0,,2,17,,,,,,,,,,,,,,
,4-May-18,18-May,C11,1,0,0,0,0,0,0,,2,14,,,,,,,,,,,,,,
,9-Apr-18,18-May-18,C23,1,0,0,0,0,0,0,,6,39,,,,,,,,,,,,,,
,18-May,18-May,C28,1,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,
,May 4,18 May 18,M12,0,1,0,0,0,0,0,,2,14,,,,,,,,,,,,,,
,Apr 30,18May 18,M16,0,1,0,0,0,0,0,,3,18,,,,,,,,,,,,,,
,May 4,May 18,M20,0,1,0,0,0,0,0,,2,14,,,,,,,,,,,,,,
,May 7,18 May 18,M23,0,1,0,0,0,0,0,,2,11,,,,,,,,,,,,,,
,9-Apr-18,18 May 18,W09,0,0,0,1,0,0,0,,6,39,,,,,,,,,,,,,,
,May 4,18 May 18,W10,0,0,0,1,0,0,0,,2,14,,,,,,,,,,,,,,
,18-May,May 24,T13,0,0,1,0,0,0,0,,1,6,,,,,,,,,,,,,,
,18-May,25-May,C30,1,0,0,0,0,0,0,,1,7,,,,,,,,,,,,,,
,23-May,25-May,C31,1,0,0,0,0,0,0,,0,2,,,,,,,,,,,,,,
,May 4,25-May,M09,0,1,0,0,0,0,0,,3,21,,,,,,,,,,,,,,
,9-Apr-18,25-May,M24,0,1,0,0,0,0,0,,7,46,,,,,,,,,,,,,,
,25-May,25-May,M26,0,1,0,0,0,0,0,,0,0,,,,,,,,,,,,,,
,25-May,25-May,XM03,0,0,0,0,1,0,0,,0,0,,,,,,,,,,,,,,
,9-Apr-18,25-May,Y02,0,0,0,0,0,0,1,,7,46,,,,,,,,,,,,,,
,18-May,25-May,Y16,0,0,0,0,0,0,1,,1,7,,,,,,,,,,,,,,
,7-May,31-May,M03,0,1,0,0,0,0,0,,3,24,,,,,,,,,,,,,,
