,,,,,,,,,,,,,,,,,,,,,,,,,
START Counts All Bikes,,,,,,,,,START in TestRide,,,,,,,TOT,START in Repair,,,,,,,TOT,
,C,M,T,W,Xm,Xw,Y,TOT,C,M,T,W,Xm,Xw,Y,,C,M,T,W,Xm,Xw,Y,,
,23,20,10,14,10,6,13,96,18,9,7,9,9,6,9,67,5,9,3,5,0,0,4,26,
Start on Loan*,,,,,,,,,,,,,,,,,,,,,,,,,
,C,M,T,W,Xm,Xw,Y,TOT,,,,,,,,,,,,,,,,,
,0,2,0,0,1,0,0,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
*,"M02, M15, Xm08",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Issues:,,,,,,,,,,,,,,,,,,,,,,
,,,Spaces at the end of tags -- can't find matches,,,,,,,,,,,,Data verification,,,,,,,,,,
,,,"Auto update ""calculate status"" and ""Print Status"" when changes made to dons mia scrap give",,,,,,,,,,,,,,,,,,,,,, 
,,,Auto link to photos ,,,,,,,,,,,,,,,,,,,,,,
,,,Print photos with captions of bikes due,,,,,,,,,,,,,,,,,,,,,,
,,,ReAssign photo when bike status changes,,,,,,,,,,or generate a linkable collage of photos of bikes with same status,,,,,,,,,,,,
