 Bike ID,Bike Brand,Bike Serial Number,Bike Tire Max PSI ,Bike Gears,Bike TIRE SIZE  F_R,Bike Photo Inventory 2018
M14,Blue/white Kuwahara, S8010430,60,18, 26 x 1.5,M14 Bluewhite Kuwahara  S8010430  60  26 x 1.5_132753.jpg
T07,Bleu Specialized,AY02F012​49,35,1,12 X 2 1/4,T07 Bleu Specialized  AY02F012​49  35  12 X 2 1.25_145849.jpg
T10,Burgundy Kidcool,LS0301139,30,1,12 x 2.125,T10 Burgundy Kidcool_LS0301139_30_12x2.125_00000049.jpg
T05,Bleu Next Guppy,PM03080086,​35,1,12.5 x 2 1/4,T05 Bleu Next Guppy  PM03080086  ​35  12.5 x 2 1.125_00003009.jpg
T12,Backyardigans vert,AL00,25,1,12.5 X 2.25,T12 Backyardigans vert AL00 25 1 12.5 X 2.25_131742
T02,Bleu Arashi,S99​120663,35,1,12.5X2.25,T02 Bleu Arashi  S99​120663  35  12.5X2.25_00002995.jpg
T04,Red/yellow Hotwheels racing team,84027870,35,1,12.5X2.5,T04  Red/yellow Hotwheels racing team  84027870  35  12.5X2.5_00002510.jpg
T13,Finding Dory blue ,SNHTC17A7287,30,1,14 1.95,T13 Huffy Finding Dory blue SNHTC17A7287 30 1 14 X 1.95_153413.jpg
T14,Huffy Ariel turqoise,SNHC28L26610,30,1,14 X 1.75,T14 Huffy Ariel turqoise SNHC28L26610 30 1 14 X 1.75
T01,Pink Barbie,LH04040093​0,25,1,14 X 2.125,T01  Pink Barbie  LH04040093​0  25  14 X 2.125_00002633.jpg
T09,Supercycle Dream  white/pink,E05122015,30,1,14 x 2.125,T09 SupercycleDream whitepink_30_14x2.125_00000050.jpg
T11,PinkBarbie ,DJFBO56755,35,1,14 X 2.125,T11 Pink Barbie_ DJFBO56755 _35_14.2.125_153153.jpg
T06,Gold Dragonfly,VS2001649,35,null,14 X 2.125,T06  Gold Dragonfly  VS2001649  35  14 X 2.125_00003013.jpg
T08,blue HotWheels ,87258331,35,1,14x2.125,T08 blue HotWheels 87258331 35 14x2.125 142304.jpg
C02,Firehawk Magic,PRM03122402,35,1,16 X 1.75,C02 Firehawk Magic  PRM03122402  35  16 X 1.75_102545.jpg
C09,Illusion Super Cycle pink,AB15A102475,31,1,"16 X 2,125",C09   Illusion Super Cycle pink  AB15A102475  31  16 X 2.125_00002266.jpg
C29,Blue Quasar , G060516556,50,1,16 X 2.0,C29 Blue Quasar G060516556 50 1 16 X 2.0_130418.jpg
C12,Quest Rocket  red,LWEA104203,30,1,16 X 2.125,C12  Quest Rocketred LWEA104203  30  16 X 2.125_00002628.jpg
C30,Infinity Trouper  yellow,18890534,35,1,16 X 2.125,C30 Infinity Trouper yellow 18890534 25 1 16 X 2.125_130126.jpg
C27,Norco grey,BC-07,35,1,16 X 2.125,C27 Norco grey BC-07 35 1 16 X 2.125 _145002.jpg
C25,Purple Sportek,BCI2407941,40,1,16 X 2.125,C25prplSportek BCI2407941 40 1 16 X 2.125.jpg
C22,Orange Stoneridge Rocki Sport,G1010040578,30,1,16 X 2.125 ,C22 orange RockiSport__30_ 16X2.125__164042.jpg
C06,yellow Cherokee,BCI2239222,35,1,16X 2.125,C06 yellow Cherokee  BCI2239222  35  16X 2.125_00000772.jpg
C26,blue_red Supercycle Illusion,L981101339,60,null,16X1.75,C26 blue_red Supercycle Illusion L981101339 60 1 16X1.75_103147.jpg
C18,Black red Illusion,AL00004149​0,40,1,16x1.95 2.125,C18 Black red Illusion AL00004149​0 35_16x1.95 /2.125_153645.jpg
C24,Pink Barbie, SL03882695,35,1,16x2.0,C24 Pink Barbie SL03882695 35 16x2.0_142708.jpg
C21,Blue silver Trek,WTU131P0831B,30,1,16x2.125,C21_blue_WTU131P0831B_30_16x2.125_163007.jpg
C16,Bleu-orang​e Supercycle,AB15L05056​5,35,1,16X​2.125,C16Bleu-orang​e Supercycle  AB15L05056​5  35  16X​2.125_120713.jpg
C17,Bleu-orang​e Supercycle  ,AH15M09170​9,35,1,16X​2.125,C17 bleu-orange AH15M091709_35_16X​2.125_20170531_104913.jpg
C19,Pink DisneyPrincess,BBC88C2724,35,1,16x2.125,C19 Pink DisneyPrincess BBC88C2724 _3195_16X2.125_00000061
C01,BlackBlueYellow Huffy Rockit,SNHTJ15L48605,30,1,18 X 1.5,C01_BlackBlueYellow Huffy Rockit SNHTJ15L48605  30 18 X 1.5_162317.jpg
C32,Supercycle blue,AH180006212,35,1,18 X 1.95,C32 Supercycle blue AH180006212 35 1 18 X 1.95.jpg
C23,thrasher NaKaMuRa Green,GSO81114416,45,1,18 X 1.95,C23 thasher Nakamura_Vert_GS081114416_45_18 X 1.95_102249.jpg
C07,Little Tykes pink,WY01100336 ,33,1,18 X 2.125,C07 Little Tykes pink  WY01100336   33  18 X 2.125_00000175.jpg
C08,Red BMX,na,70,1,20 X 1.95,C08  Red BMX  na  70  20 X 1.95_00001939.jpg
C04,blue Louis Garneau,L8G1010263,35,6,20 X 1.95,C04 blue Louis Garneau  L8G1010263  35  20 X 1.95_00001480.jpg
C35,Purple Cream Soda,L7C1204722,60,14,20 X 1.95,C35 purple Cream Soda L7C1204722  60 1 20 X 1.95_162256.jpg
C34,Tech Team Bleue    ,na,40,6,"20 x 2,00","C34 Tech Team bleue 406 20x2,00.jpg"
C33,Supercycle Red,SR101,10,null,"20 x 2,00","C32 Supercycle red SR101 10 6 20x2,00.jpg"
C14,Sportex OST Ground Breaker blue,L2Z0316488E,50,5,20 X 2.0,C14  Sportex OST Ground Breaker blue  L2Z0316488E  50  20 X 2.0_00002799.jpg
C11,Black/yellow Supercycle Impulse,L6C0212475,55,5,20 X 2.0,C11 Blackyellow Supercycle Impulse  L6C0212475  55  20 X 2.0_152223.jpg
C05,Blue Diva Tech Team, TR423957LS,30,6,20 X 2.0,C05_blue DivaTechTeam_TR423957LS 30 6 20X2.0 00000199.jpg
C31, Black Zoom ,RCG1058693,50,6,20 X 2.0,C31_Black Zoom RCG1058693 50 6 20 X 2.0 100830.jpg
C13,Tribal Foxi  blue,WY1749881,60,6,20 X 2.0,C13  Tribal Foxi  blue  WY1749884  60  20 X 2.0_00002797.jpg
C28,Orange Raleigh Rock,YF054492,60,6,20 X 2.0,C28 Orange Raleigh Rock YF054492 60 6 20 X 2.0_130050.jpg
C03,sweet   blue,YPC2024107    ,80,1,20 X 2.125,C03 sweet_blue_YPC2024107 80_20 X 2.125
C10,red Hyper  ,DCT146064219,35,6,20 X 2.25,C10  red Hyper    DCT146064219  35  20 X 2.25_00001655.jpg
Y19,Red West Coast Chopper  ,BB05C03787,35,1,20 x 3.0,Y19Red West Coast ChopperBB05C0378735120 x 3.0
C20,Pink Intrepid Shadow,PY00002190,35,1,20X 2.125,C20_pink Intrepid Shadow_PY00002190_30_20X 2.125_163206.jpg
