"Copy ""Donation""  date, tag # to ""Test Ride""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,HOLDS,,,,,,,,,Date,,Donations,,,,,,,Date,,MIA--one per Row,,,,,,,Date,,Scrap,,,,,,,Date,,Given Away,,,,,,
dd-mm,Tag #,C,M,T,W,Xm,Xw,Y,Rtn,,dd-mm,Tag #,C,M,T,W,Xm,Xw,Y,dd-mm,Tag #,C,M,T,W,Xm,Xw,Y,dd-mm,Tag #,C,M,T,W,Xm,Xw,Y,dd-mm,Tag #,C,M,T,W,Xm,Xw,Y
15-May,C04,1,0,0,0,0,0,0,2-Jun,,3-Apr,C15,1,0,0,0,0,0,0,8-Jun,M05,0,1,0,0,0,0,0,18-May,C07,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0
15-May,C16,1,0,0,0,0,0,0,2-Jun,,13-Apr,C23,1,0,0,0,0,0,0,8-Jun,M14,0,1,0,0,0,0,0,15-Jun,M15,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0
15-May,C17,1,0,0,0,0,0,0,2-Jun,,18-May,C26,1,0,0,0,0,0,0,10-Aug,W04,0,0,0,1,0,0,0,1-Jun,M23,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0
15-May,C20,1,0,0,0,0,0,0,2-Jun,,25-Apr,C27,1,0,0,0,0,0,0,10-Aug,W07,0,0,0,1,0,0,0,15-Jun,C09,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0
15-May,C22,1,0,0,0,0,0,0,2-Jun,,18-May,C28,1,0,0,0,0,0,0,14-Aug,Y15,0,0,0,0,0,0,1,22-Jun,M08,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0
15-May,C23,1,0,0,0,0,0,0,2-Jun,,18-May,C29,1,0,0,0,0,0,0,15-Aug,Y18,0,0,0,0,0,0,1,6-Jul,W18,0,0,0,1,0,0,0,,,0,0,0,0,0,0,0
15-May,C27,1,0,0,0,0,0,0,2-Jun,,18-May,C30,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
15-May,T05,0,0,1,0,0,0,0,2-Jun,,23-May,C31,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
4-May,XM06,0,0,0,0,1,0,0,,,4-Jun,C32,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
4-May,XM07,0,0,0,0,1,0,0,8-June,,18-Jul,C33,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
